     86.5143      62.4982       0.5303      -0.0277      -0.3772       0.7091      -0.0199      -0.2989       0.6230       0.3770      37.5426     -22.8699       0.6693       0.5938      -0.2518       0.3698       0.4793       0.5648      -0.1287       0.2084       0.9172       0.0828    2608.4951      18.3702       0.6437       1.6915       0.5599       0.3460      -0.7463       0.1890       0.3659       0.1609       0.0535      -0.1271       0.4752       0.5248      49.6757       0.7235      -0.0207      58.5103      53.5709       0.6870      -0.0432      56.6457      85.6944       0.1442      -0.3736     362.4759
    106.8913      63.8788       0.4652      -0.0693      -0.2852       0.6379      -0.0512      -0.2339       0.5031       0.4969      37.2065     -18.1831       0.6669       0.5674      -0.1583       0.2401       0.4871       0.5509      -0.0828       0.1394       0.9133       0.0867    2798.7960    -103.3550       0.3796       3.4296      -0.2069       0.3718       0.3827       0.1045       0.6882      -0.0552       0.0534       0.0611       0.5077       0.4923      50.2159       0.7745      -0.0126      78.0789      52.7526       0.6807      -0.0108      53.1287      85.6381      -0.3937       0.3586     401.8897
    100.1581      60.3195       0.5589      -0.2214      -0.2043       0.7065      -0.1510      -0.1549       0.6040       0.3960      51.8613     -19.0194       0.6854       0.5906      -0.2423       0.2683       0.4694       0.5522      -0.1222       0.1505       0.8878       0.1122    1844.1117      -6.8697       1.2028       2.3836      -0.5375       0.4511      -0.7652       0.3750       0.5270      -0.1622       0.0734      -0.1386       0.5843       0.4157      50.5069       0.8232      -0.0373      70.7054      52.6990       0.6802       0.0438      53.3404      85.4882      -0.2847      -0.0264     396.6871
     77.2068      71.6379       0.5140      -0.3028      -0.2500       0.6913      -0.2162      -0.2015       0.6583       0.3417      37.5878     -14.1466       0.7084       0.5197      -0.2522       0.2780       0.5164       0.5136      -0.1324       0.1647       0.9102       0.0898    2417.5548     -30.3305       0.6355       2.6542      -0.1282       0.0279       0.2709       0.1909       0.5723      -0.0375       0.0043       0.0475       0.4947       0.5053      50.2923       0.7451       0.0049      69.7389      52.2125       0.6905       0.0485      54.3597      88.0171      -0.2573      -0.0261     377.6427
    104.0722      65.0804       0.4995      -0.3884      -0.0355       0.6627      -0.2740      -0.0282       0.5499       0.4501      34.0793     -20.3450       0.7229       0.5249      -0.1896       0.2783       0.5308       0.5158      -0.0990       0.1635       0.9192       0.0808    1902.4107      -8.0957       0.9840       2.3207      -0.7389       1.2442      -0.4966       0.3410       0.5841      -0.2489       0.2228      -0.1000       0.4697       0.5303      49.1480       0.8339       0.0199      63.3500      52.4045       0.6042      -0.0157      45.0879      84.6575      -0.3985       0.3591     369.6126
    100.6204      60.0474       0.5364      -0.3621      -0.0045       0.6985      -0.2523      -0.0035       0.5747       0.4253      44.6542     -16.5565       0.7131       0.5192      -0.2953       0.3752       0.5154       0.5010      -0.1525       0.2178       0.8964       0.1036    2435.7641       4.3581       1.1959       2.6684      -0.8234       0.1617      -0.4389       0.3469       0.5645      -0.2325       0.0244      -0.0746       0.5159       0.4841      50.1361       0.7061      -0.0196      73.0514      52.5062       0.6381      -0.0340      54.5392      84.9967      -0.1348       0.0303     393.3592
     96.7797      64.4178       0.5711      -0.4123      -0.0722       0.7094      -0.2736      -0.0540       0.6279       0.3721      45.4941     -19.5770       0.7067       0.5356      -0.1799       0.2785       0.5063       0.5163      -0.0926       0.1618       0.8946       0.1054    2627.0870      35.8489       1.1513       2.0127      -0.2229      -0.4793      -0.3216       0.3298       0.4133      -0.0616      -0.0707      -0.0535       0.5000       0.5000      50.8181       0.8526       0.0249      79.8501      53.4227       0.6649      -0.0511      56.9810      85.5290      -0.2807       0.2434     414.9824
     73.2485      62.3788       0.5536      -0.1978      -0.2247       0.7445      -0.1433      -0.1827       0.6673       0.3327      45.7764     -24.0382       0.7044       0.5414      -0.1364       0.2981       0.4999       0.5269      -0.0715       0.1754       0.8911       0.1089    2742.4060     -26.4539      -1.2947       3.3324       1.3430      -0.3662       0.3005      -0.3818       0.6922       0.3825      -0.0562       0.0518       0.4412       0.5588      50.1786       0.7027      -0.0861      56.8113      52.1810       0.6951       0.0895      68.6776      84.7177      -0.3374       0.0196     388.7252
     76.9219      62.7532       0.5139      -0.1366      -0.2426       0.7258      -0.1018      -0.2022       0.6318       0.3682      29.9615     -26.6822       0.7757       0.5112      -0.2255       0.3917       0.5485       0.4961      -0.1155       0.2243       0.9323       0.0677    1980.3975     -71.6453       1.6185       2.4439      -1.0113       1.4034      -0.3481       0.5046       0.5474      -0.3109       0.2276      -0.0631       0.5509       0.4491      49.7512       0.8057      -0.0432      82.0303      52.4119       0.7297      -0.0302      51.1671      85.1840       0.2185      -0.0710     388.7415
     88.5644      64.2083       0.4904      -0.1211      -0.2771       0.6873      -0.0886      -0.2289       0.5847       0.4153      32.4469     -20.1518       0.6754       0.5284      -0.1481       0.3169       0.5097       0.5436      -0.0795       0.1922       0.9180       0.0820    1850.4580      -8.2347       1.7564       1.8928      -0.8737       1.1687      -1.0158       0.5582       0.4422      -0.2783       0.1944      -0.1907       0.5517       0.4483      49.3506       0.7563      -0.0360      60.0423      51.8184       0.5716      -0.0115      64.1384      85.9874      -0.2743      -0.0507     430.4649
